Item,Grupo,Descrição,Descrição Detalhada,Quantidade,Unidade de Fornecimento,Valor Estimado,Situação,Empresa,Melhor Lance,Valor Negociado
163,-,Luminária,"Luminária Material Corpo: Alumínio , Componentes: Drive Interno , Material Difusor: Policarbonato Leitoso , Fixação: Garra De Pressão Em Aço , Temperatura De Cor: 6500 K, Fluxo Luminoso: 1500 LM, Características Adicionais: Circunf.Frontal 23cm Borda Máx. 5cm , Potência Nominal Lâmpada: 15 W, Tensão Nominal: 220 V, Tipo Lâmpada: Super Led , Posição Relativa: Embutir , Formato: Redondo",120,Unidade,"19,7600",Homologado,,,
164,-,Luminária,"Luminária Material Corpo: Alumínio/Acrílico , Componentes: Drive Interno , Aplicação: Iluminação Interna , Temperatura De Cor: 6.000 K, Fluxo Luminoso: 1.840 LM, Cor: Luz Branca Frio , Potência Nominal Lâmpada: 24 W, Tensão Nominal: Bivolt V, Tipo Lâmpada: Led , Instalação: Teto Ou Parede , Posição Relativa: Embutir , Formato: Quadrado",650,Unidade,"36,9500",Homologado,,,
165,-,Luminária,"Luminária Material Corpo: Alumínio Injetado Alta Pressão , Material Difusor: Policarbonato Leitoso , Aplicação: Iluminação Interna , Temperatura De Cor: 6.000 K, Fluxo Luminoso: 1.400 LM, Cor: Branca , Dimensões: 22 X 22 X 2,5 CM, Tipo: Embutir , Potência Nominal Lâmpada: 18 W, Tensão Nominal: 220 V, Tipo Lâmpada: Led , Posição Relativa: Embutir , Formato: Redondo",383,Unidade,"18,8300",Homologado,,,
166,-,Luminária,"Luminária Material Corpo: Alumínio , Material Difusor: Policarbonato Leitoso , Aplicação: Iluminação Interna , Temperatura De Cor: 6.000 K, Cor: Branca , Dimensões: 22 X 22 X 4 CM, Tipo: Sobrepor , Potência Nominal Lâmpada: 18 W, Tensão Nominal: 220 V, Tipo Lâmpada: Led , Posição Relativa: Sobrepor , Formato: Quadrado",414,Unidade,"15,5000",Homologado,,,
167,-,Luminária,"Luminária Material Corpo: Policarbonato , Material Difusor: Policarbonato , Aplicação: Ambientes Internos E Externos , Dimensões: 30 X 30 X 4 CM, Tipo: Sobrepor , Potência Nominal Lâmpada: 24 W, Tensão Nominal: 100/240 V, Tipo Lâmpada: Led",483,Unidade,"34,3000",Homologado,,,
168,-,Plafonier,"Plafonier Material Corpo: Plástico , Cor: Branca , Características Adicionais: Encaixe De Uma Lâmpada, Base E-27",373,Unidade,"6,1100",Homologado,,,
180,-,Plugue,"Plugue Número Pólos: 2 P + T , Aplicação: Redes Elétricas , Corrente Nominal: 20 A, Tipo: Macho , Características Adicionais: Com Prensa Cabo Diametro Externo Até 8mm, Saída La , Normas Técnicas: Abnt Nbr 14136 , Cor Corpo: Cinza , Tensão Nominal: 250 V, Número Pinos: 3 UN, Formato Pinos: Redondo",580,Unidade,"5,0100",Homologado,,,
181,-,Refletor,"Refletor Material Corpo: Alumínio , Altura: 210 MM, Aplicação: Sistema De Iluminação , Fluxo Luminoso: 18.000 LM, Ângulo De Abertura Da Lente: 120° , Comprimento: 70 MM, Cor: Preta , Tipo: Rgb  200w , Largura: 280 MM, Tensão Alimentação: Bivolt , Tipo Lâmpada: Microled , Grau Proteção: Ip-66 , Formato: Retangular",90,Unidade,"56,5700",Homologado,,,
182,-,Refletor,"Refletor Material Corpo: Alumínio Injetado , Aplicação: Sistema De Iluminação , Temperatura De Cor: 6.500 K, Fluxo Luminoso: 700 LM, Características Adicionais: Haste Direcionável , Tensão Alimentação: Bivolt , Tipo Lâmpada: Led , Potência Lâmpada: 10 W, Grau Proteção: Ip65 (Tabela Ingress Protection)",84,Unidade,"27,2300",Homologado,,,
183,-,Refletor,"Refletor Material Corpo: Alumínio Injetado , Aplicação: Sistema De Iluminação , Temperatura De Cor: 6.500 K, Fluxo Luminoso: 8.000 LM, Características Adicionais: Haste Direcionável , Tensão Alimentação: Bivolt , Tipo Lâmpada: Led , Potência Lâmpada: 100 W, Grau Proteção: Ip65 (Tabela Ingress Protection)",105,Unidade,"59,9000",Homologado,,,
184,-,Refletor,"Refletor Material Corpo: Alumínio Injetado , Aplicação: Sistema De Iluminação , Temperatura De Cor: 6.500 K, Fluxo Luminoso: 2.400 LM, Características Adicionais: Haste Direcionável , Tensão Alimentação: Bivolt , Tipo Lâmpada: Led , Potência Lâmpada: 30 W, Grau Proteção: Ip65 (Tabela Ingress Protection)",163,Unidade,"43,6700",Homologado,,,
185,-,Tampa condulete,"Tampa Condulete Material: Alumínio , Aplicação: Elétrica , Características Adicionais: Cega , Bitola: 1 PO",50,Unidade,"4,4200",Cancelado no julgamento,,,
186,-,Tampa condulete,"Tampa Condulete Material: Alumínio , Aplicação: Instalações Elétricas , Características Adicionais: Cega , Bitola: 3/4 PO",50,Unidade,"5,0600",Cancelado por inexistência de proposta,,,
187,-,Tampa condulete,"Tampa Condulete Material: Alumínio , Cor: Cinza , Características Adicionais: Cega , Bitola: 1 1/2 PO",115,Unidade,"4,7800",Cancelado no julgamento,,,
190,-,Tampa condulete,"Tampa Condulete Material: Pvc , Cor: Cinza , Tamanho: 4 X 2 POL, Características Adicionais: 1 Tomada 2p+T",150,Unidade,"4,7000",Cancelado no julgamento,,,
191,-,Tampa condulete,"Tampa Condulete Material: Pvc Rígido , Aplicação: Elétrica , Cor: Cinza , Características Adicionais: Cega",90,Unidade,"6,0000",Cancelado no julgamento,,,
